region,direction,layout,size,renovation,garden,year,floor,district,price,danjia
东城, 南 西 北 , 3室1厅 , 109.23, 其他,东花市北里东区 ,1990,7,东花市,1036,94846.0
东城, 西北 , 3室1厅 , 96.34, 简装,东环居苑 ,2004,22,广渠门,856,88852.0
东城, 东 , 2室1厅 , 91.28, 毛坯,天娇园 ,2008,11,东花市,870,95312.0
东城, 南 , 2室2厅 , 125.11, 精装,天天家园 ,2002,11,永定门,799,63864.0
东城, 南 北 , 3室1厅 , 125.67, 精装,新裕家园 ,2004,14,崇文门,1400,111403.0
东城, 东 西 , 2室1厅 , 129.61, 精装,新世界家园 ,2004,12,崇文门,1350,104159.0
东城, 西南 , 3室2厅 , 158.07, 简装,和平新城一期 ,2003,19,和平里,1680,106283.0
东城, 南 , 2室2厅 , 91.8, 精装,中海紫御公馆 ,2010,22,陶然亭,970,105665.0
东城, 东 南 , 4室2厅 , 123.94, 精装,和平里六区 ,1998,17,和平里,1360,109731.0
东城, 南 北 , 3室1厅 , 94.58, 简装,小取灯胡同8号院 ,1992,4,东四,1050,111018.0
东城, 西南 , 1室1厅 , 55.15, 精装,培新街乙5号院 ,1999,17,广渠门,558,101179.0
东城, 南 北 , 3室2厅 , 132.12, 简装,胡家园26号院 ,1996,6,东直门,1050,79474.0
东城, 南 北 , 3室1厅 , 146.33, 精装,本家润园一期 ,2005,11,东花市,1595,109001.0
东城, 南 , 3室1厅 , 95.49, 简装,新景家园西区 ,2004,12,崇文门,1030,107865.0
东城, 东南 南 , 2室1厅 , 73.12, 简装,安德里北街25号院 ,1990,17,安定门,695,95050.0
东城, 南 北 , 3室2厅 , 179.31, 精装,冠城名敦道 ,2009,27,广渠门,1780,99270.0
东城, 西南 , 2室2厅 , 119.14, 精装,京禧阁 ,2013,22,广渠门,1166,97869.0
东城, 西南 , 2室2厅 , 120.97, 精装,上龙西里 ,1996,18,安定门,1208,99860.0
东城, 西 北 , 3室1厅 , 108.16, 精装,永铁苑 ,2000,22,陶然亭,715,66106.0
东城, 南 北 , 3室1厅 , 83.73, 精装,外交部街33号院 ,1990,6,建国门内,1079,128867.0
东城, 南 北 , 3室2厅 , 152.78, 精装,富贵园一区 ,2003,9,东花市,1850,121090.0
东城, 南 北 , 4室1厅 , 166.6, 精装,天坛公馆 ,2003,6,崇文门,2150,129052.0
东城, 南 北 , 4室2厅 , 172.78, 精装,新世界家园 ,2001,10,崇文门,2100,121542.0
东城, 东南 北 , 4室1厅 , 192.51, 精装,幸福家园二期 ,2003,18,广渠门,1780,92463.0
东城, 南 北 , 3室2厅 , 118.16, 其他,东交民巷13号院 ,1990,14,前门,1360,115099.0
东城, 西 , 1室1厅 , 52.48, 精装,兴隆都市馨园 ,2003,6,崇文门,490,93369.0
东城, 东 , 1室0厅 , 27.72, 简装,兴隆都市馨园 ,2004,7,崇文门,359,129510.0
东城, 东北 , 1室0厅 , 91.39, 毛坯,冠城名敦道 ,2010,23,广渠门,569,62261.0
东城, 东南 , 3室1厅 , 158.38, 精装,雍和家园一期 ,2001,16,和平里,1600,101023.0
东城, 南 , 1室1厅 , 61.02, 简装,景泰西里西区 ,2005,9,永定门,450,73747.0
东城, 南 北 , 3室1厅 , 113.87, 简装,华龙美晟 ,2009,12,永定门,729,64021.0
东城, 南 北 , 3室1厅 , 70.95, 精装,和平里三区 ,1996,6,和平里,778,109655.0
东城, 南 北 , 2室1厅 , 109.79, 简装,幸福家园一期 ,2002,18,广渠门,1130,102924.0
东城, 西北 , 3室2厅 , 108.16, 简装,永铁苑 ,2000,22,陶然亭,710,65644.0
东城, 东 西 , 2室1厅 , 63.61, 简装,安德路47号院 ,1988,6,安定门,550,86465.0
东城, 南 西 , 3室2厅 , 150.82, 精装,华府景园 ,2001,16,安定门,1360,90174.0
东城, 南 北 , 2室0厅 , 62.61, 简装,光明楼 ,1960,4,广渠门,510,81457.0
东城, 南 北 , 2室1厅 , 55.12, 精装,和平里五区 ,1996,6,和平里,680,123368.0
东城, 南 北 , 3室1厅 , 69.02, 毛坯,花梗胡同1号院 ,1985,6,交道口,880,127500.0
东城, 南 北 , 3室1厅 , 155.4, 简装,康鸿家园 ,2000,6,和平里,1680,108109.0
